Date,Settle,Open,High,Low,Last,Change,Volume,Open Interest
2015-12-16,4643.25,,,,,,0.0,0.0
2015-12-17,4555.0,,,,,88.25,0.0,0.0
2015-12-18,4491.25,,,,,63.75,0.0,0.0
2015-12-21,4549.5,,4499.25,,4499.25,58.25,0.0,0.0
2015-12-22,4584.25,,,,,34.75,0.0,0.0
2015-12-23,4600.0,,,,,15.75,0.0,0.0
2015-12-24,4603.25,,,,,3.25,0.0,0.0
2015-12-28,4606.0,,,4584.5,4584.5,2.75,0.0,0.0
2015-12-29,4682.75,,4644.0,,4644.0,76.75,0.0,0.0
2015-12-30,4638.25,,,4670.75,4670.75,44.5,0.0,0.0
2015-12-31,4581.5,,,4588.25,4588.25,56.75,0.0,0.0
2016-01-04,4497.0,,,4438.75,4454.25,84.5,0.0,0.0
2016-01-05,4476.5,,,4475.75,4475.75,20.5,0.0,0.0
2016-01-06,4439.75,,,4434.75,4434.75,36.75,0.0,0.0
2016-01-07,4282.25,,,4297.0,4297.0,157.5,0.0,0.0
2016-01-08,4253.75,,4296.5,,4288.0,28.5,0.0,0.0
2016-01-11,4265.0,,,4221.0,4238.0,11.25,0.0,0.0
2016-01-12,4305.0,,4284.75,4248.5,4284.75,40.0,0.0,0.0
2016-01-13,4168.0,,,4178.75,4178.75,137.0,0.0,0.0
2016-01-14,4249.75,,4249.0,4139.5,4249.0,81.75,0.0,0.0
2016-01-15,4133.0,,,4128.75,4128.75,116.75,0.0,0.0
2016-01-19,4136.75,,4154.75,4107.75,4107.75,3.75,0.0,0.0
2016-01-20,4125.25,,,3996.25,4081.0,11.5,0.0,0.0
2016-01-21,4122.5,,4133.25,4102.25,4128.25,2.75,0.0,0.0
2016-01-22,4239.75,,4192.0,,4192.0,117.25,0.0,0.0
2016-01-25,4178.75,,,4191.5,4191.5,61.0,0.0,0.0
2016-01-26,4218.75,,4191.5,,4191.5,40.0,0.0,0.0
2016-01-27,4118.75,,,4154.0,4154.0,100.0,0.0,0.0
2016-01-28,4145.5,,4149.0,,4136.0,26.75,0.0,0.0
2016-01-29,4255.0,,4180.0,4144.75,4180.0,109.5,0.0,0.0
2016-02-01,4283.25,,4257.0,,4257.0,28.25,0.0,0.0
2016-02-02,4183.75,,,4187.0,4187.0,99.5,0.0,0.0
2016-02-03,4163.0,,,4107.25,4134.25,20.75,0.0,0.0
2016-02-04,4146.5,,,4128.25,4144.5,16.5,0.0,0.0
2016-02-05,4012.75,,,4014.75,4014.75,133.75,0.0,0.0
2016-02-08,3955.25,,,3899.25,3923.5,57.5,0.0,0.0
2016-02-09,3935.25,,,3912.75,3941.75,20.0,0.0,0.0
2016-02-10,3957.5,,3978.0,,3967.75,22.25,0.0,0.0
2016-02-11,3951.25,,,3910.75,3933.25,6.25,0.0,0.0
2016-02-12,3996.0,,3964.75,,3964.75,44.75,0.0,0.0
2016-02-16,4082.25,,4047.25,,4047.25,86.25,0.0,0.0
2016-02-17,4184.75,,,,,102.5,0.0,0.0
2016-02-18,4143.5,,,,,41.25,0.0,0.0
2016-02-19,4148.75,,,,,5.25,0.0,0.0
2016-02-22,4202.0,,,,,53.25,0.0,0.0
2016-02-23,4146.0,,,4164.0,4164.0,56.0,0.0,0.0
2016-02-24,4195.5,,4168.0,4103.75,4168.0,49.5,0.0,0.0
